!     ID Load Se              Fx              Fz               M                                                                                                                           Pozn.
       5       1               0      -1532.8125               0                                                                                                                                
       7       1               0      -1532.8125               0                                                                                                                                
       9       1               0      -1532.8125               0                                                                                                                                
      10       1               0      -1532.8125               0                                                                                                                                
      11       1               0      -1532.8125               0                                                                                                                                
      12       1               0      -1532.8125               0                                                                                                                                
      13       1               0      -1532.8125               0                                                                                                                                
      15       1               0      -1532.8125               0                                                                                                                                
      17       1               0      -1532.8125               0                                                                                                                                
      25       1               0      -1532.8125               0                                                                                                                                
      27       1               0        -613.125               0                                                                                                                                
      29       1               0      -1532.8125               0                                                                                                                                
      31       1               0        -613.125               0                                                                                                                                
      32       1               0      -1532.8125               0                                                                                                                                
      33       1               0      -1532.8125               0                                                                                                                                
       5       2         1406.25         -2812.5               0                                                                                                                                
       7       2         1406.25         -2812.5               0                                                                                                                                
       9       2         1406.25         -2812.5               0                                                                                                                                
      10       2         1406.25         -2812.5               0                                                                                                                                
      11       2               0         -2812.5               0                                                                                                                                
      12       2        -1406.25         -2812.5               0                                                                                                                                
      13       2        -1406.25         -2812.5               0                                                                                                                                
      15       2        -1406.25         -2812.5               0                                                                                                                                
      17       2        -1406.25         -2812.5               0                                                                                                                                
      25       2         1406.25         -2812.5               0                                                                                                                                
      27       2           562.5           -1125               0                                                                                                                                
      29       2         1406.25         -2812.5               0                                                                                                                                
      31       2           562.5           -1125               0                                                                                                                                
      32       2         1406.25         -2812.5               0                                                                                                                                
      33       2         1406.25         -2812.5               0                                                                                                                                
       5       3         1406.25         -2812.5               0                                                                                                                                
       7       3         1406.25         -2812.5               0                                                                                                                                
       9       3         1406.25         -2812.5               0                                                                                                                                
      10       3         1406.25         -2812.5               0                                                                                                                                
      11       3         703.125        -1406.25               0                                                                                                                                
      25       3         1406.25         -2812.5               0                                                                                                                                
      27       3           562.5           -1125               0                                                                                                                                
      32       3         1406.25         -2812.5               0                                                                                                                                
      11       4        -703.125        -1406.25               0                                                                                                                                
      12       4        -1406.25         -2812.5               0                                                                                                                                
      13       4        -1406.25         -2812.5               0                                                                                                                                
      15       4        -1406.25         -2812.5               0                                                                                                                                
      17       4        -1406.25         -2812.5               0                                                                                                                                
      29       4        -1406.25         -2812.5               0                                                                                                                                
      31       4          -562.5           -1125               0                                                                                                                                
      33       4        -1406.25         -2812.5               0                                                                                                                                
       5       5       -3046.875         6093.75               0                                                                                                                                
       7       5       -3046.875         6093.75               0                                                                                                                                
       9       5       -3046.875         6093.75               0                                                                                                                                
      10       5       -3046.875         6093.75               0                                                                                                                                
      11       5               0         6093.75               0                                                                                                                                
      12       5        3046.875         6093.75               0                                                                                                                                
      13       5        3046.875         6093.75               0                                                                                                                                
      15       5        3046.875         6093.75               0                                                                                                                                
      17       5        3046.875         6093.75               0                                                                                                                                
      25       5       -3046.875         6093.75               0                                                                                                                                
      27       5        -1218.75          2437.5               0                                                                                                                                
      29       5        3046.875         6093.75               0                                                                                                                                
      31       5         1218.75          2437.5               0                                                                                                                                
      32       5       -3046.875         6093.75               0                                                                                                                                
      33       5        3046.875         6093.75               0                                                                                                                                
       5       6       -3046.875         6093.75               0                                                                                                                                
       7       6       -3046.875         6093.75               0                                                                                                                                
       9       6       -3046.875         6093.75               0                                                                                                                                
      10       6       -3046.875         6093.75               0                                                                                                                                
      11       6      -1523.4375        3046.875               0                                                                                                                                
      25       6       -3046.875         6093.75               0                                                                                                                                
      27       6        -1218.75          2437.5               0                                                                                                                                
      32       6       -3046.875         6093.75               0                                                                                                                                
      11       7       1523.4375        3046.875               0                                                                                                                                
      12       7        3046.875         6093.75               0                                                                                                                                
      13       7        3046.875         6093.75               0                                                                                                                                
      15       7        3046.875         6093.75               0                                                                                                                                
      17       7        3046.875         6093.75               0                                                                                                                                
      29       7        3046.875         6093.75               0                                                                                                                                
      31       7         1218.75          2437.5               0                                                                                                                                
      33       7        3046.875         6093.75               0                                                                                                                                
       5       8               0           -7500               0                                                                                                                                
       7       8               0           -7500               0                                                                                                                                
       9       8               0           -7500               0                                                                                                                                
      10       8               0           -7500               0                                                                                                                                
      11       8               0           -7500               0                                                                                                                                
      12       8               0           -7500               0                                                                                                                                
      13       8               0           -7500               0                                                                                                                                
      15       8               0           -7500               0                                                                                                                                
      17       8               0           -7500               0                                                                                                                                
      25       8               0           -7500               0                                                                                                                                
      27       8               0           -3000               0                                                                                                                                
      29       8               0           -7500               0                                                                                                                                
      31       8               0           -3000               0                                                                                                                                
      32       8               0           -7500               0                                                                                                                                
      33       8               0           -7500               0                                                                                                                                
       5       9               0           -7500               0                                                                                                                                
       7       9               0           -7500               0                                                                                                                                
       9       9               0           -7500               0                                                                                                                                
      10       9               0           -7500               0                                                                                                                                
      11       9               0           -5625               0                                                                                                                                
      12       9               0           -3750               0                                                                                                                                
      13       9               0           -3750               0                                                                                                                                
      15       9               0           -3750               0                                                                                                                                
      17       9               0           -3750               0                                                                                                                                
      25       9               0           -7500               0                                                                                                                                
      27       9               0           -3000               0                                                                                                                                
      29       9               0           -3750               0                                                                                                                                
      31       9               0           -1500               0                                                                                                                                
      32       9               0           -7500               0                                                                                                                                
